book,date,ticker,call,outcome,ret_pct,n_insiders,total_usd,max_single_usd,ceo,cfo,director_only,pct_placement,avg_purchase_px,runup_at_call_pct,days_filed_to_call,vintage_commit,note
ledger,2026-07-17,NTSK,long,right,12.21,2,21963525,7216081,0,0,1,0.0,11.98,13.4,6,95d50c0c,
ledger,2026-07-17,IPX,long,right,7.02,2,2378393,1075980,1,0,0,0.0,3.58,540.2,4,95d50c0c,
ledger,2026-07-17,ELV,long,right,4.59,2,1368280,753071,1,0,1,0.0,367.32,1.6,0,95d50c0c,
ledger,2026-07-17,BUKS,long,wrong,-6.38,2,157203,33375,0,0,1,0.0,4.39,10.6,4,95d50c0c,
ledger,2026-07-17,GABC,long,right,4.88,5,95000,20000,0,0,1,0.0,47.84,1.5,0,95d50c0c,
ledger,2026-07-17,INM,long,wrong,-3.95,2,33401,21330,0,0,1,0.0,1.55,-2.0,1,95d50c0c,
ledger,2026-07-17,YORW,long,right,5.12,6,30096,3250,1,1,0,0.0,29.11,8.1,0,95d50c0c,
ledger,2026-07-25,FSBC,long,,,6,6279988,3999996,0,0,1,0.0,44.0,6.4,1,ff5334ad,
ledger,2026-07-25,CLBK,long,,,16,4778740,500000,1,1,0,0.0,10.0,8.8,3,ff5334ad,
ledger,2026-07-25,TSM,long,,,2,4409830,74750,0,0,1,0.0,73.41,449.5,4,ff5334ad,
ledger,2026-07-25,BBASX,long,,,2,2633626,658410,0,0,1,0.0,10.79,1.6,1,ff5334ad,
ledger,2026-07-25,BYRN,long,,,3,253538,102286,1,0,0,0.0,3.48,-3.1,2,ff5334ad,
ledger,2026-07-25,GRML,long,,,2,136710,55944,0,0,1,0.0,0.22,-13.8,5,ff5334ad,
ledger,2026-07-31,SCTX,long,,,1,6203449,144266,0,0,1,0.0,18.25,11.8,3,3cc127c7,
ledger,2026-07-31,ACI,long,,,1,2249689,232273,1,0,0,0.0,11.42,1.6,1,3cc127c7,
ledger,2026-08-03,XAIR,long,,,2,27724804,199999,1,1,0,0.0,5.76,9.9,3,9526b6de,
ledger,2026-08-03,HCWB,long,,,2,79995,59998,1,0,0,0.0,2.58,29.2,3,9526b6de,
ledger,2026-08-05,FUNC,long,,,4,12801,4724,1,1,1,0.0,45.77,-2.3,0,e5a18bb4,
ledger,2026-08-06,GBFH,long,,,4,1217199,280394,1,0,1,0.0,21.56,-5.4,1,d05d4e9f,
ledger,2026-08-06,TSCO,long,,,2,552130,416829,1,0,1,0.0,32.18,3.8,1,d05d4e9f,
ledger,2026-08-06,RGCO,long,,,2,300,200,0,0,1,0.0,21.49,1.0,1,d05d4e9f,
ledger,2026-08-07,SAGT,long,,,2,279125,231000,1,0,0,0.0,0.77,-6.4,1,acbdc4b6,
ledger,2026-08-07,WBHC,long,,,2,251351,248848,0,0,1,0.0,83.45,559.1,2,acbdc4b6,
ledger,2026-08-07,BHRB,long,,,2,80618,73250,0,0,1,0.0,73.29,0.6,3,acbdc4b6,
ledger,2026-08-10,BRVE,long,,,7,69394950,34560000,1,1,0,0.0,18.0,66.7,3,f7a9f2ab,
ledger,2026-08-10,ATTO,long,,,4,31799979,9999995,0,0,1,16.0,17.0,18.6,4,f7a9f2ab,
ledger,2026-08-10,CCB,long,,,3,1115844,444500,1,0,1,0.0,44.12,2.8,3,f7a9f2ab,
ledger,2026-08-10,NWPP,long,,,2,26970,19505,0,0,1,0.0,4.39,2.6,3,f7a9f2ab,
ledger,2026-08-11,BLSM,long,,,4,5181900,5000000,0,1,0,0.0,16.0,-0.1,1,68388955,
ledger,2026-08-11,LTGO,long,,,2,5040000,2520000,0,0,1,0.0,18.0,3.1,1,68388955,
ledger,2026-08-11,AHCO,long,,,2,394530,149930,0,0,1,0.0,6.21,-16.0,1,68388955,
ledger,2026-08-11,ELAN,long,,,2,333776,236850,0,1,1,0.0,23.51,-5.2,1,68388955,
ledger,2026-08-11,MKZR,long,,,3,160020,37440,1,0,1,0.0,1.6,-4.8,1,68388955,
ledger,2026-08-11,MRP,long,,,2,115580,86400,0,0,1,0.0,28.89,-0.3,1,68388955,
ledger,2026-08-11,BOTJ,long,,,2,30135,17615,0,0,1,0.0,27.47,-1.6,1,68388955,
ledger,2026-08-11,CZNC,long,,,2,5446,5245,0,0,1,0.0,25.22,0.4,1,68388955,
ledger,2026-08-12,XRN,long,,,2,1278984,991944,1,0,1,0.0,35.93,2.4,0,97e50020,
ledger,2026-08-12,AMRC,long,,,2,1176199,995279,1,0,0,0.0,25.19,7.9,1,97e50020,
ledger,2026-08-12,CC,long,,,5,408068,203060,0,1,0,0.0,15.56,-3.0,2,97e50020,
ledger,2026-08-12,KMPR,long,,,4,288380,129550,0,1,1,0.0,26.22,2.2,1,97e50020,
ledger,2026-08-12,MATW,long,,,2,163940,118000,0,0,1,0.0,23.42,-1.1,2,97e50020,
ledger,2026-08-12,FEMY,long,,,5,134000,50000,1,1,0,100.0,3.2,-30.0,1,97e50020,
ledger,2026-08-13,ACDC,long,,,2,4018492,2515354,1,0,0,0.0,5.02,4.7,1,9d36f0ca,
ledger,2026-08-13,LILA,long,,,2,3700380,1499914,0,0,1,0.0,12.98,-34.1,2,9d36f0ca,
ledger,2026-08-13,AMRZ,long,,,5,838852,248851,0,1,0,0.0,47.05,-0.6,0,9d36f0ca,
ledger,2026-08-13,TNC,long,,,2,640990,538720,0,0,1,0.0,67.47,0.2,0,9d36f0ca,
ledger,2026-08-13,EMBC,long,,,4,557945,223848,1,1,1,0.0,4.85,5.3,0,9d36f0ca,
ledger,2026-08-13,CODI,long,,,2,506950,299658,0,0,1,0.0,12.07,1.7,0,9d36f0ca,
ledger,2026-08-13,STRZ,long,,,2,273730,248000,1,0,1,0.0,24.88,12.5,2,9d36f0ca,
ledger,2026-08-13,CIA,long,,,2,264015,199630,1,0,0,0.0,3.92,-0.5,2,9d36f0ca,
ledger,2026-08-13,MTDR,long,,,2,239695,159755,1,0,1,0.0,51.12,0.9,1,9d36f0ca,
ledger,2026-08-13,AVBC,long,,,2,227519,99786,0,0,1,0.0,21.56,2.3,1,9d36f0ca,
