date,ticker,call,thesis,price_at_call,check_date,price_at_check,outcome
2026-07-17,NTSK,long,[insider] 2 insiders bought $22.0M cluster,13.59,2026-08-16,,
2026-07-17,IPX,long,[insider] 2 insiders bought $2.4M cluster,22.94,2026-08-16,,
2026-07-17,ELV,long,[insider] 2 insiders bought $1.4M cluster,373.11,2026-08-16,,
2026-07-17,BUKS,long,[insider] 2 insiders bought $0.16M cluster,4.86,2026-08-16,,
2026-07-17,GABC,long,[insider] 5 insiders bought $0.10M cluster,48.57,2026-08-16,,
2026-07-17,INM,long,[insider] 2 insiders bought $0.03M cluster,1.52,2026-08-16,,
2026-07-17,YORW,long,[insider] 6 insiders bought $0.03M cluster,31.45,2026-08-16,,
2026-07-25,FSBC,long,[insider] 6 insiders bought $6.3M cluster,46.81,2026-08-24,,
2026-07-25,CLBK,long,[insider] 16 insiders bought $4.8M cluster,10.88,2026-08-24,,
2026-07-25,TSM,long,[insider] 2 insiders bought $4.4M cluster,403.41,2026-08-24,,
2026-07-25,BBASX,long,[insider] 2 insiders bought $2.6M cluster,10.96,2026-08-24,,
2026-07-25,BYRN,long,[insider] 3 insiders bought $0.25M cluster,3.37,2026-08-24,,
2026-07-25,GRML,long,[insider] 2 insiders bought $0.14M cluster,0.19,2026-08-24,,
2026-07-31,SCTX,long,[insider] 4 insiders bought $216.2M cluster,20.40,2026-08-30,,
2026-07-31,ACI,long,[insider] 2 insiders bought $12.1M cluster,11.60,2026-08-30,,
2026-08-03,XAIR,long,[insider] 2 insiders bought $27.7M within 14d,6.33,2026-09-02,,
2026-08-03,HCWB,long,[insider] 2 insiders bought $0.08M within 14d,3.34,2026-09-02,,
